VitaSPEC;Type_Essai;Origine-Pays;Origine-PRO;Croisement;Genotype ID VitaPALM;Orgen;Station;trait;Annee Plantation;plot ;Parcelle;Ligne;Arbre;Matricule-PE;obs 19/02/25;ech;Matricule-DIADE;MF (mg);MS (mg) Silicagel;TE1 (%MF);Nb fruit;Nb copeaux;date de collecte;date de spectre (meso et exo);Note;Serie 1 Meso Amel ;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  17896;PO;-;2020;8;407;38;9;PO-407-38-9-2020;M;M167;P407-L38-A9;1036;694,7;33;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  17896;PO;-;2020;8;407;39;8;PO-407-39-8-2020;M;M168;P407-L39-A8;1220;912,5;25;1;3;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18108;PO;-;2020;6;407;30;11;PO-407-30-11-2020;PM;M169;P407-L30-A11;981;443,3;55;1;3;25/02/2025;25/02/2025;regime pourri en bas;;;
Diversite;Hybrid;CIxCameroun;La Mé x Ekona;LM 5 T AF x 2/2311T AF AF;;PO  15873;PO;-;2016;;333;;;PO-333-9-10-2016;;M17;333-L9-A10;893;744,6;17;1;2;25/03/2024;26/03/2024;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18136;PO;-;2020;9;407;33;7;PO-407-33-7-2020;M;M170;P407-L33-A7;1148;772,0;33;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18096;PO;-;2020;4;407;31;10;PO-407-31-10-2020;M;M171;P407-L31-A10;1022;718,1;30;1;3;25/02/2025;25/02/2025;chetif;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  17182;PO;-;2020;11;407;34;10;PO-407-34-10-2020;M;M172;P407-L34-A10;1064;685,7;36;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  17182;PO;-;2020;11;407;34;9;PO-407-34-9-2020;M;M173;P407-L34-A9;928;702,4;24;1;1;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18048;PO;-;2020;3;407;34;16;PO-407-34-16-2020;M;M174;P407-L34-A16;787;489,6;38;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  17453;PO;-;2020;7;407;32;2;PO-407-32-2-2020;M;M175;P407-L32-A2;987;584,9;41;1;1;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  17896;PO;-;2020;8;407;31;16;PO-407-31-16-2020;M;M176;P407-L31-A16;913;541,4;41;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  17896;PO;-;2020;8;407;31;15;PO-407-31-15-2020;M;M177;P407-L31-A15;937;620,7;34;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18108;PO;-;2020;6;407;31;13;PO-407-31-13-2020;M;M178;P407-L31-A13;751;274,6;63;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18048;PO;-;2020;3;407;32;14;PO-407-32-14-2020;PM;M179;P407-L32-A14;1073;505,3;53;1;2;25/02/2025;25/02/2025;;;;
Diversite;PRO;CI;La Mé;LM 2 T AF;;PO  16502;PO;-;2017;;333;;;PO-333-14-24-2017;;M18;333-L14-A24;889;639,1;28;1;3;25/03/2024;26/03/2024;;M18;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  17896;PO;-;2020;8;407;31;14;PO-407-31-14-2020;M;M180;P407-L31-A14;1233;797,0;35;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18152;PO;-;2020;10;407;23;5;PO-407-23-5-2020;PM;M181;P407-L23-A5;1099;807,4;27;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  17896;PO;-;2020;8;407;21;4;PO-407-21-4-2020;M;M182;P407-L21-A4;1008;661,2;34;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  17896;PO;-;2020;8;407;20;2;PO-407-20-2-2020;M;M183;P407-L20-A2;776;488,5;37;1;2;25/02/2025;25/02/2025;passé de MM à M;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18108;PO;-;2020;6;407;19;13;PO-407-19-13-2020;PM;M184;P407-L19-A13;828;366,9;56;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18108;PO;-;2020;6;407;19;2;PO-407-19-2-2020;PM;M185;P407-L19-A2;923;708,3;23;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18177;PO;-;2020;5;407;20;11;PO-407-20-11-2020;M;M186;P407-L20-A11;838;433,8;48;1;2;25/02/2025;25/02/2025;passé de MM à M;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18136;PO;-;2020;9;407;19;15;PO-407-19-15-2020;PM;M187;P407-L19-A15;993;613,9;38;1;3;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  17896;PO;-;2020;8;407;20;4;PO-407-20-4-2020;M;M188;P407-L20-A4;1005;690,2;31;1;3;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18108;PO;-;2020;6;407;19;12;PO-407-19-12-2020;PM;M189;P407-L19-A12;1018;647,8;36;1;2;25/02/2025;25/02/2025;;;;
Diversite;PRO;CI;La Mé;LM 2 T AF;;PO  16502;PO;-;2017;;333;;;PO-333-14-21-2017;;M19;333-L14-A21;783;550,6;30;1;4;25/03/2024;26/03/2024;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18108;PO;-;2020;6;407;19;3;PO-407-19-3-2020;M;M190;P407-L19-A3;816;556,7;32;1;4;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;testeur;testeur;;;PO;PO;-;2020;2;407;22;14;PO-407-22-14-2020;M;M191;P407-L22-A14;918;644,4;30;1;3;25/02/2025;25/02/2025;hors croisement;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18177;PO;-;2020;5;407;22;11;PO-407-22-11-2020;M;M192;P407-L22-A11;1302;932,2;28;1;1;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18048;PO;-;2020;3;407;23;3;PO-407-23-3-2020;M;M193;P407-L23-A3;1049;669,8;36;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  17896;PO;-;2020;8;407;22;4;PO-407-22-4-2020;PM;M194;P407-L22-A4;974;694,0;29;1;1;25/02/2025;25/02/2025;;;;
