"ech","eau","C14.0","C16.0","C18.0","C18.1n9","C18.1n7","C18.2","C18.3","C20.0","tlip.MS","trans.alpha.carotene","trans.beta.carotene","total.trans.carotene.natif","ratio.alpha.beta","ratio.alpha.natif","ratio.beta.natif","X13.cis.beta.carotene","X9.cis.beta.carotene","total.beta.carotene","total.carotene"
"M175",41,0.7,41.1,5.9,37.6,2,11.8,0.3,0.5,77.971574988791,318.979872206276,397.959605056278,716.939477262555,0.801538317340442,0.444918828328742,0.555081171671258,28.6266601385369,43.0615506240712,469.647815818886,788.627688025163
"M176",41,0.924213995082874,37.3521034909951,4.92187445365924,48.5692541450591,0.598658323498867,6.8237737466354,0.366333702253786,0.443788142815629,73.5173029424024,635.903144860233,798.185168074085,1434.08831293432,0.796686245617146,0.443419794391252,0.556580205608748,10.7888904046263,137.026999171059,946.00105764977,1581.90420251
"M177",34,1,40.1,4.9,44.6,1.9,6.8,0.4,0.3,73.3547125905713,1264.52871397983,1163.66869592662,2428.19740990645,1.08667416972396,0.520768496342539,0.479231503657461,55.0955829769061,154.807350089228,1373.57162899275,2638.10034297258
"M178",63,0.7,41.9,4.1,38.1,2.1,12.3,0.5,0.3,64.9478057823052,761.846717027848,1235.23317766014,1997.07989468799,0.616763483046164,0.381480339897406,0.618519660102594,57.3785355537061,105.086263485497,1397.69797669934,2159.54469372719
"M179",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M18",28,0.4,34.5,5.1,49.2,1.6,8.4,0.4,0.4,NA,544.640356632469,1076.57301596726,1621.21337259973,0.505901920775092,0.335946128891783,0.664053871108217,66.9596640177172,111.450560677828,1254.9832406628,1799.62359729527
"M180",35,0.697276927974269,39.4986293442533,4.81485735694715,47.2980915112272,0.658594673657147,6.34858630406386,0.334001330039763,0.34996255183731,84.0911644009239,1117.08801398357,465.577660365283,1582.66567434885,2.39935913829526,0.705826904626062,0.294173095373938,2.76130619368894,142.400741757269,610.73970831624,1727.82772229981
"M181",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M182",34,1,43.5,4.6,40.1,2.1,7.9,0.5,0.3,74.7384746422444,974.521258627761,1115.35335841268,2089.87461704044,0.873733199687191,0.466306088739344,0.533693911260656,64.8156469200899,124.044327849825,1304.21333318259,2278.73459181035
"M183",37,0.5,40,4.8,45,1.7,7.4,0.3,0.3,77.0426844692061,1605.32301504476,1238.54180581042,2843.86482085518,1.29613954693629,0.564486400082134,0.435513599917866,181.965460324346,194.327643842765,1614.83490997753,3220.15792502229
"M184",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M185",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M186",48,0.93586984895874,40.3472199209003,4.10928613179963,44.5850599447023,0.730177951171317,8.50266916914417,0.371266391817412,0.418450641506126,77.6492463005365,343.99485039365,354.041020293283,698.035870686934,0.971624277064531,0.492803973032398,0.507196026967602,2.84320458213588,46.4653350859029,403.349559961322,747.344410354972
"M187",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M188",31,1.12687339082165,45.8950591804602,4.62070569934259,38.1512389091267,0.58020730639076,8.99503450229322,0.316912125888002,0.31396888567689,86.2493343913282,476.030421037527,503.09293849983,979.123359537356,0.946207717518357,0.486180230918457,0.513819769081544,6.01309856509852,96.0967335125776,605.202770577506,1081.23319161503
"M189",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M19",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M190",32,0.4,39.3,5.2,45.3,1.7,7.4,0.3,0.4,75.5072153376107,128.250288142601,306.266902335997,434.517190478599,0.418753339536185,0.295155844125155,0.704844155874845,10.3383152295418,26.0082475338663,342.613465099406,470.863753242007
"M191",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M192",28,1.2,47.1,5,33.6,1.7,10.6,0.4,0.4,81.9685499612544,62.4727055258625,108.4154497902,170.888155316062,0.576234343414675,0.365576569132703,0.634423430867297,8.425148402609,19.3919087287399,136.232506921549,198.705212447411
"M193",36,1.3,44.5,4.8,36.8,1.8,10.1,0.3,0.4,78.4284031109332,393.329946872944,757.873880143898,1151.20382701684,0.518991295488719,0.341668380213949,0.658331619786051,29.9088312586254,41.552190569216,829.33490197174,1222.66484884468
"M194",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M195",34,0.843708318990534,42.250811424251,5.03683547731741,41.8331371573304,0.583572752170693,8.81233250891844,0.255199395415223,0.384402965606321,87.5807644432976,133.750010379384,125.241870136089,258.991880515472,1.06793367293262,0.516425496093471,0.483574503906529,1.91206327229053,20.8614360297217,148.015369438101,281.765379817485
"M196",76,0.6,40.2,4,40.8,2.4,10.8,0.6,0.5,53.9511426599757,155.170972978536,183.800114776292,338.971087754828,0.844237628292014,0.457770525522722,0.542229474477278,50.8602134642232,59.3680566032362,294.028384843751,449.199357822287
"M197",35,1.52477764048662,44.1397324078793,5.0351539507661,37.7536755609964,0.562657013298205,10.2857650560084,0.215118847921459,0.4831195226435,84.9051495577306,104.697522260356,194.685107708931,299.382629969287,0.537778793110806,0.349711412018449,0.650288587981551,3.06744348602215,24.1756478315925,221.928199026546,326.625721286902
"M198",57,0.8,46.9,3.6,37,1.8,9.1,0.4,0.5,71.4665079070928,171.460852035696,311.361226177276,482.822078212971,0.550681451704181,0.355122227778625,0.644877772221375,10.7867517353965,58.2150976581979,380.36307557087,551.823927606566
"M199",36,1.16640085896567,43.1982598400678,6.22740128378999,36.5439681517979,0.450768463922172,11.5477001251386,0.377455940778095,0.488045335539729,84.9563059867574,199.999121147189,277.754518162443,477.753639309632,0.720057129836571,0.418623961580268,0.581376038419732,3.17875899693194,37.3981865294759,318.331463688851,518.33058483604
"M2",44,0.2,26.3,6.2,59.7,0.6,5.8,0.7,0.5,73.8733532245335,1463.57483547418,1811.17082838571,3274.7456638599,0.808082160189527,0.446927787896996,0.553072212103004,101.686386570863,242.343935224454,2155.20115018103,3618.77598565521
"M20",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M200",26,0.9,41.1,5.1,41.5,1.7,9.2,0.3,0.3,79.3134816047378,488.774076195937,538.452823733744,1027.22689992968,0.907737975644135,0.475818999900992,0.524181000099008,22.2573679724291,69.8763708339387,630.586562540112,1119.36063873605
"M201",37,1.39919979078379,45.0301764900153,4.84284554340051,37.2904050346776,0.548387438464237,10.3212583427541,0.238570561184217,0.329156798720227,82.9039010924046,73.2360305712738,244.445612915785,317.681643487059,0.299600511122712,0.230532774155259,0.769467225844741,5.01136070839436,28.7956116962393,278.252585320419,351.488615891693
"M202",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M203",28,0.956463662626884,42.5909848822593,5.50125633022552,38.5376760633405,0.522417482263967,11.1898046082303,0.345211611227025,0.356185359826464,87.4198018228282,107.73920870481,108.257414097477,215.996622802286,0.995213211058223,0.498800431724478,0.501199568275522,1.69649881343498,33.5171584389569,143.471071349869,251.210280054678
"M204",34,0.8,42.6,4.5,41.4,2.2,7.9,0.4,0.2,76.7712924366725,285.645177725667,407.462036439421,693.107214165088,0.701035071197694,0.412122644069941,0.587877355930059,18.3059939745396,31.8912556256901,457.659286039651,743.304463765317
"M205",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M206",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M207",38,1.15475178376518,44.7659383569115,4.53533207055304,39.4529732693436,0.677090729226683,8.72668966076463,0.414379983079627,0.272844146355717,79.6329283611288,539.531861339184,981.981063530592,1521.51292486978,0.549432042405547,0.354602220277138,0.645397779722862,4.8907697164417,120.995082511989,1107.86691575902,1647.39877709821
"M208",32,1,44.6,4.4,38.8,1.8,8.9,0.2,0.3,81.4863314409542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M209",29,0.6,37.6,6.8,43,1.8,9.5,0.3,0.4,81.5181759097896,477.450257022436,404.938985460388,882.389242482824,1.17906715373332,0.541088030129436,0.458911969870564,29.9959362833709,38.7176828046642,473.652604548423,951.102861570859
"M21",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
