"ech","C14.0","C16.0","C18.0","C18.1n9","C18.2","FFA(%)","trans.alpha.carotene","trans.beta.carotene","X13.cis.beta.carotene","X9.cis.beta.carotene","total.beta.carotene","total.carotene","lycopene","aT","aT3","gT3","dT3","total.T3","total.toco"
"61",0.884045526688585,43.7050587117696,5.25714251991945,38.7083610971629,9.89599422397164,8.42156491894035,235.549005714936,315.969901268326,16.3651462739865,71.6077440649632,403.942791607276,639.491797322212,3.07399866201362,144.204462216493,186.179913726283,271.054272907385,124.752607354007,581.986793987675,726.191256204168
"62",0.825779005928479,43.552133630235,5.34377480107051,38.73336795667,9.67420154182902,5.75791714113483,266.919694242376,309.532197229767,18.4802945774285,109.398455303098,437.410947110294,704.33064135267,4.33944663623192,169.349488385738,197.447233388726,260.368890501195,121.446880056675,579.263003946597,748.612492332335
"63",1.15974847084279,44.1200217668976,4.85373430982295,39.6066117254787,8.29489229567109,14.1445508726744,482.776230700796,575.174699786397,136.925168241533,183.646773703879,895.746641731809,1378.52287243261,3.79524633430863,118.256328367501,118.715985053412,147.41111841876,39.8615859224353,305.988689394606,424.245017762107
"64",0.579441680040659,41.4445725498188,5.53161869939578,42.6066684346543,8.28918515153412,21.7370134493161,140.663884227865,169.251380646943,29.6302411478053,70.3613164367374,269.242938231485,409.90682245935,0,84.3689889928835,120.078238547154,200.962782146996,71.3481430149,392.38916370905,476.758152701933
"65",0.847422896058138,41.4400618547011,5.35141453552185,41.6341807194435,9.10687412767815,11.2738672875234,370.170364940639,534.712968930053,33.1461292382554,105.513088607578,673.372186775887,1043.54255171653,12.3741806369798,176.508106225133,151.610094888159,139.936229373197,42.0488345407796,333.595158802136,510.103265027269
"66",0.643475921508525,36.4457622748983,6.60898824731024,47.3195425890414,7.80324312461349,9.24986457830708,454.955244424009,622.479128647212,72.6613913146672,139.318697220735,834.459217182614,1289.41446160662,15.7966898965268,180.155875461352,223.073958080573,281.838920242441,95.3081170750196,600.220995398034,780.376870859386
"67",0.576786092821122,31.3238645792192,6.809115417718,52.2757527161626,7.51921601697131,35.9172534753464,398.609786881982,414.0718383837,77.5194432547082,115.861902172617,607.453183811025,1006.06297069301,3.08190271932682,42.3806581512141,103.276092714889,183.669160612381,68.4768923792857,355.422145706556,397.80280385777
"68",0.671812686195173,38.4268983658936,5.20804450021614,45.5749416163002,8.28091511868535,5.52113777309814,903.604232887854,1033.70985896813,118.594478150063,284.811899412416,1437.11623653061,2340.72046941846,28.9551016210308,134.805554777482,273.710755885705,327.465343920913,115.797202729577,716.973302536194,851.778857313676
"69",1.02609319090011,41.4624101315317,4.72333757978261,43.8228330096238,6.97884121060419,13.0598086557421,812.871941263341,1012.94485879452,53.3280146107231,305.561848082184,1371.83472148743,2184.70666275077,38.2286751180148,150.814392849576,307.329650560855,423.591362918998,103.174349949398,834.095363429251,984.909756278827
"70",0.445245704666487,34.7294646399476,6.58517965050418,48.6727610286604,8.32039628226046,8.68262808010131,296.593713288844,536.748945013598,19.6775453001155,141.093707450643,697.520197764357,994.113911053201,9.64839134420048,75.5865205306583,95.8743717624756,222.472350716336,64.4039754915426,382.750697970354,458.337218501013
"71",0.38899371272108,33.3665786182259,6.4756341831884,50.6114156451624,7.92297758303652,4.10097432688874,404.119470363201,486.972041779434,61.6528814665578,140.97991446449,689.604837710482,1093.72430807368,5.07040930393399,126.967845658729,126.044431142298,214.493818724385,56.9752401998392,397.513490066523,524.481335725252
"72",0.895400612793879,40.2022280490064,6.25783576013758,40.9687776098275,10.4772829492686,22.3953986615529,329.962869910721,370.508324720586,28.9797654429334,77.7465682914914,477.234658455011,807.197528365732,2.09559683185678,82.6435290680221,117.00088552822,258.555269646812,218.021204530441,593.577359705473,676.220888773495
"73",0.319076176236017,26.3357023347943,2.60911263968932,56.2347853751978,11.968820019453,1.1425303910374,96.521318177788,120.46525191556,13.0664863447612,30.9857782130347,164.517516473356,261.038834651143,0,252.543255119115,204.754237980093,374.772496707365,157.002769027084,736.529503714542,989.072758833657
"74",0.989186202581968,42.733403934567,4.60395992106776,39.6742528871392,10.5066023660872,9.73224049733572,211.83355431861,233.874288313593,18.730376490184,46.9297663954832,299.53443119926,511.36798551787,0,153.752773991144,165.228837649732,251.761121607463,198.3277331041,615.317692361294,769.070466352438
"75",0.88810140774149,41.3553227196702,5.11399180359997,40.5847827239324,10.6941475800919,9.56025808490728,278.569898955388,294.586736748757,19.0513885545563,55.4156994592562,369.053824762569,647.623723717957,0,141.467698288236,189.740812278903,267.129215473374,115.865471219563,572.73549897184,714.203197260076
"76",0.577117407367959,37.6760403497795,6.98113465483488,45.3027051329963,7.97550978563765,16.8083462897059,236.448588293587,269.392359437338,65.6000494325083,99.1106811933836,434.10309006323,670.551678356818,1.84165292379918,59.0460472567065,97.2259965651646,209.816248398678,81.2435090348666,388.285753998709,447.331801255416
"77",0.97073642673972,40.103423404598,3.85709293499048,43.7664095732374,9.15429873257934,9.70206017015765,403.061426125369,456.651717741706,86.1170505552535,215.926198133636,758.694966430595,1161.75639255596,1.40880440320408,152.033859282494,210.138579561535,289.834859914749,197.075800720269,697.049240196553,849.083099479046
"78",0.713413553550734,42.9105992750067,5.05636421737832,40.1508826640405,8.9722673127904,24.4392630178116,289.673827952144,297.986725675608,55.6297869394158,88.1385519671778,441.755064582202,731.428892534346,0,NA,NA,NA,NA,NA,NA
"79",0.714810302314117,40.4784122074649,5.02281176587355,43.6297926495667,8.27248975950589,5.62260735768824,319.635658222337,274.479580960322,62.3452601851281,76.7233751997062,413.548216345157,733.183874567493,4.3200666767509,165.66664068395,242.815019459025,213.316000552051,99.2561641118165,555.387184122892,721.053824806842
"80",0.702931095849276,38.20406068927,5.11054612800053,44.9714029852108,9.22055617341283,28.6513181401739,379.885856866872,521.495747212215,99.1251941207172,184.038632327509,804.65957366044,1184.54543052731,1.1732889788046,101.829154416473,298.98332095834,326.166544616567,94.1520360111395,719.301901586047,821.13105600252
"81",0.666954168523039,39.9690912787762,5.40441288143188,42.7825907011369,9.40654683310257,14.5150308504828,328.845116272656,321.885722982358,50.7047811648912,96.1886161328526,468.779120280102,797.624236552758,1.26156193944878,148.671010261423,153.542688969442,199.699907002721,93.6500285274972,446.89262449966,595.563634761083
